epoch,step,test_loss,train_loss,val_loss
0,49,,0.5645312666893005,
0,99,,0.5586050748825073,
0,149,,0.5495551824569702,
0,158,,,0.5702701210975647
1,199,,0.5339493751525879,
1,249,,0.5301501154899597,
1,299,,0.49349117279052734,
1,317,,,0.5724707841873169
2,349,,0.5592589378356934,
2,399,,0.6175704002380371,
2,449,,0.5848401188850403,
2,476,,,0.5698257088661194
3,499,,0.6206026673316956,
3,549,,0.648408055305481,
3,599,,0.6156703233718872,
3,635,,,0.5708736777305603
4,649,,0.5112397074699402,
4,699,,0.564923107624054,
4,749,,0.5658725500106812,
4,794,,,0.5694215297698975
5,799,,0.5833641290664673,
5,849,,0.5781548023223877,
5,899,,0.4661857783794403,
5,949,,0.5778075456619263,
5,953,,,0.5688109993934631
6,999,,0.5449129939079285,
6,1049,,0.588394045829773,
6,1099,,0.5658878087997437,
6,1112,,,0.5703393220901489
7,1149,,0.5746471881866455,
7,1199,,0.6488792300224304,
7,1249,,0.5997273325920105,
7,1271,,,0.5693871974945068
8,1299,,0.6023476719856262,
8,1349,,0.5549755096435547,
8,1399,,0.6529247760772705,
8,1430,,,0.5697464346885681
9,1449,,0.5525234937667847,
9,1499,,0.46801745891571045,
9,1549,,0.5578438639640808,
9,1589,,,0.5687576532363892
10,1590,0.5618616938591003,,
